"participant_id","have_gmail","google_primary","google_owner","google_how_long","google_recall_app","google_recall_sso","generic_recall_app","generic_recall_sso","iuipcQ1","iuipcQ2","iuipcQ3","iuipcQ4","iuipcQ5","iuipcQ6","iuipcQ7","iuipcQ8","gender","age","education","background"
"182","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Neither agree nor disagree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Somewhat agree","Agree","Man","18 - 24","Bachelor's Degree","Prefer not to disclose"
"183","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"184","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Agree","Somewhat agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"185","Yes","Yes","Institutional Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"186","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"188","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"189","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"190","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"191","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Unsure",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Somewhat agree","Woman","45 - 54","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"192","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Somewhat agree","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"193","Yes","Yes","Own Account","Less than or about 5 years","No","No",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Man","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"194","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Somewhat agree","Somewhat agree","Agree","Agree","Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Woman","45 - 54","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"196","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Man","35 - 44","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"197","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"198","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"200","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Man","18 - 24","High school","I have an education in, or work in, the field of computer science, computer engineering or IT."
"201","Yes","Yes","Own Account","Less than or about 5 years","No","No",,,"Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Man","18 - 24","High school","I have an education in, or work in, the field of computer science, computer engineering or IT."
"203","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Man","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"205","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"206","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"208","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"210","Yes","Yes","Own Account","More than 10 years","Unsure","Unsure",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Man","65 or older","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"212","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Somewhat disagree","Agree","Agree","Woman","35 - 44","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"213","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"214","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"215","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Somewhat agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Somewhat agree","Somewhat disagree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"217","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Somewhat agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Neither agree nor disagree","Man","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"218","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Somewhat agree","Woman","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"220","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Man","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"221","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","55 - 64","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"224","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"225","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"226","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Man","65 or older","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"227","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"228","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"229","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"230","Yes","Yes","Own Account","Less than or about 1 year","No","Yes",,,"Agree","Strongly agree","Agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"233","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Agree","Strongly agree","Somewhat agree","Agree","Agree","Agree","Agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"234","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Strongly agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Non-binary","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"235","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Man","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"236","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Woman","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"238","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"239","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"240","Yes","Yes","Own Account","More than 10 years","No","No",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Man","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"241","Yes","Yes","Own Account","Unsure","No","Yes",,,"Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"242","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"243","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Agree","Strongly agree","Strongly agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Man","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"246","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Agree","Strongly agree","Agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Agree","Somewhat disagree","Man","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"247","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Disagree","Woman","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"248","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"249","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Woman","35 - 44","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"251","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Somewhat agree","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"252","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Man","55 - 64","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"254","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Somewhat agree","Somewhat agree","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"256","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Man","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"257","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Woman","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"259","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Agree","Disagree","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"260","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"261","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","18 - 24","Professional degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"262","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Woman","45 - 54","other","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"263","Yes","Yes","Institutional Account","Less than or about 10 years","Yes","Yes",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"264","Yes","Yes","Own Account","Less than or about 5 years","Unsure","No",,,"Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Woman","55 - 64","Professional degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"265","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"267","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Somewhat agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"268","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Disagree","Agree","Somewhat agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"271","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"272","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"274","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"275","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"276","No",,,,,,"No","No","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Woman","55 - 64","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"277","No",,,,,,"Unsure","Unsure","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"279","Yes","Yes","Own Account","Less than or about 10 years","Yes","No",,,"Agree","Somewhat agree","Agree","Agree","Somewhat agree","Agree","Strongly agree","Neither agree nor disagree","Man","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"281","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"282","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat disagree","Disagree","Somewhat agree","Disagree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"283","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Agree","Man","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"284","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Agree","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"285","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Woman","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"286","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"287","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"288","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Woman","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"289","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Somewhat agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"290","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"292","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Disagree","Somewhat disagree","Somewhat disagree","Disagree","Woman","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"294","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"296","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"297","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"299","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","55 - 64","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"301","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Woman","55 - 64","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"302","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"303","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"304","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Disagree","Somewhat disagree","Disagree","Man","45 - 54","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"305","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"310","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"311","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Disagree","Disagree","Somewhat disagree","Agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"314","Yes","Yes","Own Account","Unsure","No","No",,,"Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"315","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Neither agree nor disagree","Agree","Agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Woman","18 - 24","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"317","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","45 - 54","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"318","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"321","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Somewhat agree","Somewhat agree","Agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Man","55 - 64","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"322","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Neither agree nor disagree","Agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"323","Yes","Yes","Own Account","Less than or about 1 year","No","No",,,"Agree","Agree","Somewhat agree","Agree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat agree","Man","25 - 34","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"324","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Agree","Somewhat agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
