Response ID,google_recall_sso_yes_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
533,I was wondering it was worth my time to sign in and if it was a safe sight to sign in to.,,,,,,,,
536,Trying to remember my password and username,,,,,,,,
537,I considered how difficult the signup process for the third-party app would be and if just logging into it with my Google Account would be faster.,,,,,,,,
538,,,,,,,,,
539,Whether that website would be able to see my emails and such,,,,,,,,
540,Convenience,,,,,,,,
542,I thought about how much I trusted the website I was using google to sign into and if I was comfortable signing in with my google account. I decided it was fine and did.,,,,,,,,
543,nothing,,,,,,,,
544,am I okay sharing my data,,,,,,,,
545,I considered what could possibly happen if someone malicious gained access to that account.,,,,,,,,
547,I wondered if my data would be safe.,,,,,,,,
548,"I considered whether the app or service was trustworthy, and I also considered how often I would use this app.",,,,,,,,
549,Is it safe and secure?,,,,,,,,
550,Didn't consider anything really,,,,,,,,
552,Is it safe just because it's faster?,,,,,,,,
553,This is probably going to save me a lot of time. I'm not too concerned with theft because I have nothing of value.,,,,,,,,
554,"If there are other options like I previously mentioned, I mostly use Apple log-in or my own, but if I am using Google, then I think about the type of website/app it is and my privacy.",,,,,,,,
555,"I knew I would already have to use that email address to generate a login anyway, so it seemed efficient to use the third-party sign in option.",,,,,,,,
556,The one thing I considered was the efficiency of signing into it by just a press of a button rather than going through the sign in process.,,,,,,,,
557,Why not just sign in with a email?,,,,,,,,
558,"Not much. I mainly use the email for gaming content,",,,,,,,,
559,Mostly convenience and the fact that I'm less likely to forget or lose account information.,,,,,,,,
561,I considered that I didn't want to use Facebook.,,,,,,,,
562,"I considered if the site would have access to my contacts. Since Google owns Youtube, I did not really care .",,,,,,,,
564,I considered my privacy and security.,,,,,,,,
566,"What portions of my account the service would have access to (location, media, contacts, etc.), how often I would get marketing information from the service through that email, what information could be exposed if the service was hacked, how often I would use Google services like adding calendar appointments, submitting payment info, or sharing posts to my contacts.",,,,,,,,
569,I considered if I trusted the company w/ my account info.,,,,,,,,
570,If my information would be shared.,,,,,,,,
574,What information about me they would get from me connecting my account,,,,,,,,
575,I was thinking about logging in with an email and password because I didn't want my personal information to be linked.,,,,,,,,
577,Whether I used that last time or had a regular password,,,,,,,,
580,"The app itself, and whether it is reputable.",,,,,,,,
581,my account security,,,,,,,,
582,Using Google to sign in is convenient.,,,,,,,,
583,,,,,,,,,
585,whether I wanted tons of spam from that service,,,,,,,,
588,I have used this single sign on for a while and this is a preferred method. I think about taking extra precautions to secure my google account since using single sign on makes things less secure. Overall it makes things a lot easier and more enjoyable to use.,,,,,,,,
589,What permissions it has to my google account,,,,,,,,
590,I thought about how they would have access to my information. Just like you might.,,,,,,,,
591,My data being shared and exploited.,,,,,,,,
592,If the site was reputable.,,,,,,,,
593,How much easier and convenient it is to use.,,,,,,,,
594,,,,,,,,,
595,Security risks,,,,,,,,
598,"Risk versus reward. I worry a little about giving an app access to my personal information, but, to be honest, if I think I could get money back from something (like the receipt apps) it definitely convinces me a little more. If the app looks shady to me I won't do it, but if it seems relatively legitimate and has good reviews, I'm probably willing.",,,,,,,,
600,That I wanted to sign in.,,,,,,,,
